Model settings:
Alpha = 1, Features encoder depth = 34, Cognition encoder depth = 6, Latent space dimension = 6, Data normalized = True
Features encoder dimensions = [14753, 13006, 12264, 11775, 10875, 9729, 9303, 8852, 8000, 8000, 7642, 7175, 6949, 6810, 6311, 6000, 5823, 5583, 5245, 4990, 3629, 3000, 2732, 1200, 1950, 1655, 1500, 1414, 1032, 827, 665, 301, 135, 50]
Cognition encoder dimensions = [12, 11, 10, 9, 8, 7]
Learning curve mode = False
********************
  epoch    l2_norm    reconst_loss    score    train_loss     dur
-------  ---------  --------------  -------  ------------  ------
      1     0.9777          1.3842  [35m22.1582[0m        [31m2.3620[0m  1.4506
      2     0.9764          1.3640  [35m20.5937[0m        [31m2.3404[0m  0.5492
      3     0.8847          1.3710  24.4796        [31m2.2557[0m  0.5486
      4     0.9508          1.4037  [35m16.7179[0m        2.3546  0.5502
      5     0.9227          1.3538  20.3502        2.2765  0.5489
      6     0.9879          1.3816  17.4889        2.3695  0.5732
      7     1.0279          1.3307  19.8661        2.3585  0.5511
      8     0.9994          1.4210  [35m15.6403[0m        2.4203  0.5500
      9     1.0323          1.3791  19.0173        2.4114  0.5619
     10     0.9170          1.3515  22.3189        2.2686  0.5494
     11     0.9345          1.3785  19.5603        2.3130  0.5494
     12     0.9281          1.3147  24.7848        [31m2.2428[0m  0.5510
     13     0.9695          1.3437  16.4050        2.3132  0.5525
     14     0.9060          1.3660  24.0899        2.2720  0.6378
     15     0.9171          1.3374  23.2812        2.2545  0.5515
     16     0.9249          1.3562  25.5717        2.2811  0.5512
     17     1.0300          1.3506  16.2273        2.3807  0.5505
     18     0.9870          1.3602  20.6747        2.3471  0.5552
     19     0.9758          1.3523  23.9663        2.3281  0.5550
     20     0.9861          1.3483  18.9208        2.3344  0.5525
     21     0.9623          1.3629  19.5048        2.3252  0.5559
     22     0.9382          1.3594  19.7813        2.2976  0.5514
     23     1.0079          1.3494  20.5433        2.3572  0.5517
     24     0.9472          1.3473  19.0104        2.2945  0.5556
     25     0.9836          1.3536  23.5285        2.3372  0.5526
     26     0.9307          1.3604  [35m15.4271[0m        2.2912  0.5534
     27     0.9723          1.3455  22.1872        2.3178  0.5539
     28     0.9387          1.3498  19.7633        2.2885  0.5524
     29     0.9251          1.3461  19.4233        2.2712  0.6044
     30     0.9427          1.4126  27.3194        2.3553  0.5536
     31     0.9485          1.3496  18.6241        2.2981  0.5526
     32     0.9776          1.3627  23.0404        2.3403  0.5526
     33     0.9665          1.3300  18.0637        2.2965  0.5522
     34     0.9772          1.3911  19.7163        2.3683  0.5542
     35     0.9469          1.3906  21.6639        2.3375  0.5517
     36     0.9379          1.3064  23.4229        2.2442  0.5512
     37     1.0129          1.3161  19.9271        2.3290  0.5579
     38     0.9420          1.3496  23.2397        2.2917  0.5531
     39     0.9415          1.3597  17.3032        2.3012  0.5522
     40     0.8820          1.3682  23.9184        2.2502  0.5523
     41     0.8304          1.2960  21.4098        [31m2.1264[0m  0.5522
     42     0.9042          1.3647  20.8042        2.2689  0.5534
     43     0.9177          1.3442  19.6469        2.2618  0.5591
     44     0.9577          1.3270  20.8310        2.2847  0.5554
     45     0.9142          1.3658  22.7269        2.2800  0.5580
     46     0.8588          1.3646  23.1564        2.2235  0.5552
     47     0.9387          1.3417  20.6204        2.2805  0.5551
     48     0.8607          1.3627  21.3152        2.2235  0.5585
     49     0.9479          1.3105  20.3581        2.2584  0.5542
     50     0.9431          1.3488  18.2488        2.2919  0.5564
     51     0.9392          1.3994  16.3994        2.3386  0.5565
     52     0.9257          1.3383  18.8447        2.2640  0.5544
     53     0.9207          1.3739  19.6705        2.2946  0.5547
     54     0.9250          1.3097  22.3353        2.2347  0.5570
     55     0.8869          1.3415  22.9568        2.2284  0.5568
     56     0.9203          1.3359  19.9612        2.2562  0.5569
     57     0.9019          1.3392  [35m13.7100[0m        2.2411  0.5570
     58     0.9223          1.3112  20.0873        2.2335  0.5558
     59     0.8316          1.3294  15.6235        2.1611  0.5572
     60     0.9375          1.3611  17.1414        2.2986  0.5577
     61     0.8818          1.3266  18.7609        2.2084  0.5599
     62     0.8820          1.3501  21.0689        2.2321  0.5572
     63     0.8947          1.3392  17.0599        2.2339  0.5568
     64     0.8712          1.3557  29.5607        2.2269  0.5583
     65     0.8718          1.3301  21.7033        2.2018  0.5573
     66     0.8782          1.3642  17.3869        2.2424  0.5562
     67     0.8075          1.3271  17.4339        2.1345  0.5569
     68     0.8887          1.3204  20.4666        2.2091  0.5580
     69     0.9157          1.3167  21.9030        2.2324  0.5568
     70     0.9098          1.3442  20.6594        2.2540  0.5578
     71     0.8770          1.3754  16.4849        2.2525  0.5563
     72     0.8982          1.3482  24.5746        2.2464  0.5586
     73     0.8654          1.2973  [35m11.2489[0m        2.1628  0.5565
     74     0.9054          1.3437  15.4918        2.2491  0.5584
     75     0.8934          1.3610  30.5213        2.2544  0.5580
     76     0.8438          1.3572  19.0320        2.2011  0.5741
     77     0.8509          1.3142  20.3887        2.1651  0.5646
     78     0.8808          1.3688  18.9256        2.2496  0.5552
     79     0.8457          1.3560  19.6700        2.2016  0.5568
     80     0.8896          1.3430  16.4524        2.2326  0.5564
     81     0.8427          1.2918  17.3276        2.1345  0.5566
     82     0.8764          1.3638  15.2331        2.2402  0.5577
     83     0.8930          1.3085  21.0740        2.2015  0.5582
     84     0.8903          1.3502  15.7896        2.2405  0.5581
     85     0.8540          1.2985  14.1198        2.1526  0.5584
     86     0.8241          1.3053  20.8013        2.1294  0.5591
     87     0.8310          1.3284  18.5871        2.1594  0.5582
     88     0.9161          1.3278  28.1358        2.2439  0.5577
     89     0.8131          1.3281  12.5962        2.1412  0.6951
     90     0.9221          1.2952  15.3267        2.2173  0.5578
     91     0.8422          1.3340  21.5143        2.1762  0.5588
     92     0.8307          1.3457  16.9749        2.1763  0.5586
     93     0.8596          1.3446  20.0155        2.2043  0.5587
     94     0.8077          1.3282  17.9577        2.1359  0.5587
     95     0.8851          1.3748  20.5967        2.2599  0.5580
     96     0.8824          1.3180  24.2131        2.2004  0.5599
     97     0.8405          1.3143  18.3977        2.1548  0.5673
